user_message,crisis_label,severity_level,suggested_helpline_id
I received a lottery scam asking for password.,Cyber Crime,1,cyber_1930
"Need help immediately at metro station, group of men is trying to stalking me.",Women Safety,5,women_1091
I am extremely anxious and thinking of cutting myself.,Mental Health Crisis,5,mental_health
"Bad accident on the crossing, not moving.",Road Accident,5,ambulance_108
Lost money from my bank account due to fraud message.,Cyber Crime,1,cyber_1930
Please help. I see sparks coming from the school.,Fire Emergency,5,fire_101
Please help. Someone morphed my phone. Call police.,Cyber Crime,1,cyber_1930
"Urgent. Two cars crashed, people are stuck inside. Call police.",Road Accident,5,ambulance_108
"Emergency! Please save me, my brother-in-law is trying to hitting me.",Domestic Violence,4,women_1091
He is drunk and threatening me and the kids.,Domestic Violence,5,women_1091
"Help! I suspect child abuse next door, the little girl is always lost.",Child Helpline,3,child_1098
Emergency! Help! The factory is on fire!,Fire Emergency,5,fire_101
Emergency! I feel worthless and want to end it all.,Mental Health Crisis,4,mental_health
There is a huge fire at market! Call police.,Fire Emergency,5,fire_101
Someone is harassing me.,Women Safety,4,women_1091
"Help! Domestic violence happening at my neighbor's house, he is beating her. Call police.",Domestic Violence,5,women_1091
"Everything feels pointless, I just want to jumping off. Need help now.",Mental Health Crisis,5,mental_health
I received a lottery scam asking for identity.,Cyber Crime,1,cyber_1930
A child is being trafficked in the shop. Please hurry.,Child Helpline,5,child_1098
"Fire broke out in the apartment, people are trapped.",Fire Emergency,5,fire_101
I feel empty and don't see a way out.,Mental Health Crisis,4,mental_health
"Fire broke out in the kitchen, people are trapped. Call police.",Fire Emergency,5,fire_101
Help! A man is stalking me and I feel unsafe.,Women Safety,3,women_1091
A child is being beaten in the temple.,Child Helpline,3,child_1098
"Help! I am scared of my brother-in-law, he is locking me.",Domestic Violence,3,women_1091
I see sparks coming from the apartment. Please hurry.,Fire Emergency,5,fire_101
I received a fraud message asking for identity.,Cyber Crime,2,cyber_1930
"I suspect child abuse next door, the minor is always injured.",Child Helpline,4,child_1098
I found a little boy who is lost at street. Call police.,Child Helpline,5,child_1098
"I am scared of my brother-in-law, he is locking me.",Domestic Violence,3,women_1091
"Domestic violence happening at my neighbor's house, he is hitting her.",Domestic Violence,5,women_1091
"Urgent. I think I am being stalking, he is following me.",Women Safety,4,women_1091
Urgent. He is drunk and hitting me and the kids.,Domestic Violence,5,women_1091
"I suspect child abuse next door, the little girl is always hungry.",Child Helpline,3,child_1098
"Please help. Reporting child labor at factory, little girl is working there.",Child Helpline,5,child_1098
"My friend is talking about cutting myself, I'm scared.",Mental Health Crisis,3,mental_health
Electric short circuit caused a fire in market.,Fire Emergency,5,fire_101
I see sparks coming from the market.,Fire Emergency,5,fire_101
Emergency! A child is being working in the park.,Child Helpline,5,child_1098
Emergency! My father is beating me.,Domestic Violence,3,women_1091
"Urgent. I suspect child abuse next door, the minor is always crying.",Child Helpline,4,child_1098
My partner is abusing me.,Domestic Violence,4,women_1091
He is drunk and throwing things at me and the kids.,Domestic Violence,4,women_1091
"Need help immediately at cab, man is trying to threatening me.",Women Safety,4,women_1091
I feel empty and nobody cares.,Mental Health Crisis,4,mental_health
"I think I am being abusing, he is following me. Please hurry.",Women Safety,4,women_1091
Emergency! I feel anxious and nobody cares. Need help now.,Mental Health Crisis,4,mental_health
My photos are being morphed on internet. Need help now.,Cyber Crime,3,cyber_1930
"Please help. Reporting child labor at park, minor is working there.",Child Helpline,3,child_1098
"Reporting child labor at street, baby is working there.",Child Helpline,4,child_1098
Call the fire brigade! factory is burning.,Fire Emergency,5,fire_101
I am being abusing by a stranger at dark street.,Women Safety,5,women_1091
"Please save me, my father is trying to beating me. Need help now.",Domestic Violence,5,women_1091
I see flames coming from the kitchen.,Fire Emergency,5,fire_101
"I am scared of my partner, he is throwing things at me. Please hurry.",Domestic Violence,5,women_1091
Someone is following me.,Women Safety,3,women_1091
"I think I am being stalking, he is following me.",Women Safety,3,women_1091
"Lost child found at temple, looks lost.",Child Helpline,4,child_1098
I see thick smoke coming from the office.,Fire Emergency,5,fire_101
My photos are being hacked on internet.,Cyber Crime,2,cyber_1930
There is a small fire at apartment!,Fire Emergency,5,fire_101
"Help! Everything feels painful, I just want to taking pills.",Mental Health Crisis,3,mental_health
"Please help, I am alone and driver is stalking me.",Women Safety,5,women_1091
"Hit and run case at junction, victim is stuck inside.",Road Accident,5,ambulance_108
"Please save me, my husband is trying to abusing me.",Domestic Violence,5,women_1091
"I am scared of my husband, he is throwing things at me.",Domestic Violence,3,women_1091
I see thick smoke coming from the school. Need help now.,Fire Emergency,5,fire_101
"Reporting child labor at factory, little boy is working there.",Child Helpline,3,child_1098
"I think I am being stalking, he is following me. Please hurry.",Women Safety,5,women_1091
A truck hit a pedestrian at bridge.,Road Accident,5,ambulance_108
"Having severe breakdown, please help.",Mental Health Crisis,4,mental_health
Help! He is drunk and beating me and the kids.,Domestic Violence,5,women_1091
"Domestic violence happening at my neighbor's house, he is threatening her.",Domestic Violence,4,women_1091
A child is being forced to beg in the temple.,Child Helpline,5,child_1098
I received a UPI fraud asking for money.,Cyber Crime,3,cyber_1930
I am being threatening by a group of men at office.,Women Safety,4,women_1091
Help! The apartment is on fire!,Fire Emergency,5,fire_101
I am being harassing by a guy at dark street.,Women Safety,4,women_1091
"Please save me, my husband is trying to hitting me.",Domestic Violence,3,women_1091
"Please help, I am alone and group of men is stalking me. Call police.",Women Safety,4,women_1091
"Please help. I want to killing myself, I can't take it anymore. Need help now.",Mental Health Crisis,3,mental_health
Lost money from my bank account due to UPI fraud.,Cyber Crime,1,cyber_1930
Urgent. I found a kid who is scared at park.,Child Helpline,4,child_1098
"Urgent. I suspect child abuse next door, the minor is always injured.",Child Helpline,5,child_1098
A car hit a old man at crossing. Need help now.,Road Accident,4,ambulance_108
He is drunk and abusing me and the kids. Need help now.,Domestic Violence,3,women_1091
"Help! I suspect child abuse next door, the kid is always injured.",Child Helpline,4,child_1098
"Domestic violence happening at my neighbor's house, he is threatening her.",Domestic Violence,5,women_1091
Please help. Help! The building is on fire!,Fire Emergency,5,fire_101
"Please help. Fire broke out in the market, people are trapped.",Fire Emergency,5,fire_101
I received a lottery scam asking for identity. Please hurry.,Cyber Crime,2,cyber_1930
"Emergency! Domestic violence happening at my neighbor's house, he is locking her.",Domestic Violence,3,women_1091
He is drunk and beating me and the kids.,Domestic Violence,3,women_1091
"I am scared of my husband, he is threatening me. Please hurry.",Domestic Violence,3,women_1091
"Lost child found at shop, looks scared.",Child Helpline,4,child_1098
My father is hitting me. Please hurry.,Domestic Violence,5,women_1091
A child is being forced to beg in the temple. Call police.,Child Helpline,5,child_1098
"Please help. Fire broke out in the school, people are trapped. I am scared.",Fire Emergency,5,fire_101
Urgent. Someone is touching me.,Women Safety,5,women_1091
Call the fire brigade! market is burning.,Fire Emergency,5,fire_101
"Reporting child labor at factory, little girl is working there. Please hurry.",Child Helpline,3,child_1098
"Urgent. Hit and run case at highway, victim is not moving.",Road Accident,4,ambulance_108
I feel suicidal and I am a burden.,Mental Health Crisis,4,mental_health
"Need ambulance immediately at main road, bus accident. Please hurry.",Road Accident,5,ambulance_108
"Having severe hallucinations, please help.",Mental Health Crisis,5,mental_health
I found a little girl who is scared at park.,Child Helpline,3,child_1098
A man is chasing me and I feel unsafe. Please hurry.,Women Safety,5,women_1091
"Please save me, my husband is trying to beating me.",Domestic Violence,5,women_1091
"Urgent. Fire broke out in the school, people are trapped. Need help now.",Fire Emergency,5,fire_101
Electric short circuit caused a fire in building.,Fire Emergency,5,fire_101
I feel empty and don't see a way out.,Mental Health Crisis,4,mental_health
"Reporting a UPI fraud scam, they stole my money.",Cyber Crime,2,cyber_1930
Lost money from my bank account due to fraud message.,Cyber Crime,1,cyber_1930
"Reporting child labor at street, kid is working there. Call police.",Child Helpline,3,child_1098
"Help! Lost child found at temple, looks scared.",Child Helpline,4,child_1098
I found a kid who is crying at shop.,Child Helpline,4,child_1098
"Please help. Reporting a UPI fraud scam, they stole my identity.",Cyber Crime,3,cyber_1930
"Emergency! Everything feels dark, I just want to taking pills. Need help now.",Mental Health Crisis,5,mental_health
"Fire broke out in the factory, people are trapped. I am scared.",Fire Emergency,5,fire_101
"Having severe hallucinations, please help.",Mental Health Crisis,3,mental_health
Please help. Help! The school is on fire!,Fire Emergency,5,fire_101
Urgent. Someone is chasing me.,Women Safety,4,women_1091
"Having severe breakdown, please help. I am scared.",Mental Health Crisis,5,mental_health
Lost money from my bank account due to lottery scam.,Cyber Crime,1,cyber_1930
I received a phishing link asking for details.,Cyber Crime,3,cyber_1930
"My friend is talking about suicide, I'm scared.",Mental Health Crisis,3,mental_health
Electric short circuit caused a fire in building.,Fire Emergency,5,fire_101
He is drunk and beating me and the kids. Please hurry.,Domestic Violence,3,women_1091
"My friend is talking about taking pills, I'm scared.",Mental Health Crisis,3,mental_health
I received a fraud message asking for money.,Cyber Crime,1,cyber_1930
"I am scared of my brother-in-law, he is abusing me.",Domestic Violence,3,women_1091
I received a fraud message asking for details.,Cyber Crime,2,cyber_1930
"Two cars crashed, people are bleeding heavily.",Road Accident,5,ambulance_108
I found a baby who is injured at railway station. Need help now.,Child Helpline,3,child_1098
"Bad accident on the highway, stuck inside.",Road Accident,4,ambulance_108
"Reporting child labor at railway station, baby is working there.",Child Helpline,5,child_1098
Call the fire brigade! market is burning.,Fire Emergency,5,fire_101
"Help! Please save me, my father is trying to locking me.",Domestic Violence,3,women_1091
Help! The office is on fire!,Fire Emergency,5,fire_101
"I think I am being harassing, he is following me.",Women Safety,3,women_1091
"Urgent. Lost child found at park, looks hungry.",Child Helpline,5,child_1098
Someone shared my instagram. Please hurry.,Cyber Crime,3,cyber_1930
"Please help. Need ambulance immediately at highway, car accident. Call police.",Road Accident,4,ambulance_108
A man is chasing me and I feel unsafe.,Women Safety,5,women_1091
"Hit and run case at highway, victim is injured.",Road Accident,5,ambulance_108
"Please save me, my father is trying to beating me. Please hurry.",Domestic Violence,4,women_1091
Urgent. There is a small fire at factory!,Fire Emergency,5,fire_101
Urgent. I found a little boy who is injured at railway station. Please hurry.,Child Helpline,3,child_1098
"I suspect child abuse next door, the kid is always lost. Please hurry.",Child Helpline,5,child_1098
"Hit and run case at main road, victim is injured.",Road Accident,5,ambulance_108
"I am scared of my father, he is beating me.",Domestic Violence,4,women_1091
"Two cars crashed, people are unconscious.",Road Accident,4,ambulance_108
"Reporting a UPI fraud scam, they stole my password.",Cyber Crime,1,cyber_1930
"Emergency! I need someone to talk to, I am lonely.",Mental Health Crisis,5,mental_health
Electric short circuit caused a fire in school.,Fire Emergency,5,fire_101
"Please help, I am alone and man is touching me.",Women Safety,3,women_1091
Lost money from my bank account due to fraud message. I am scared.,Cyber Crime,2,cyber_1930
"My friend is talking about cutting myself, I'm scared. I am scared.",Mental Health Crisis,5,mental_health
Electric short circuit caused a fire in building.,Fire Emergency,5,fire_101
Please help. I am being threatening by a man at park. Need help now.,Women Safety,4,women_1091
"Please help, I am alone and stranger is following me.",Women Safety,3,women_1091
"Lost child found at temple, looks bruised.",Child Helpline,4,child_1098
"Need ambulance immediately at bridge, bus accident.",Road Accident,5,ambulance_108
My brother-in-law is locking me.,Domestic Violence,3,women_1091
"Everything feels painful, I just want to cutting myself.",Mental Health Crisis,3,mental_health
"Reporting child labor at park, kid is working there.",Child Helpline,5,child_1098
Electric short circuit caused a fire in market.,Fire Emergency,5,fire_101
"Lost child found at park, looks bruised.",Child Helpline,5,child_1098
A man is harassing me and I feel unsafe.,Women Safety,3,women_1091
Call the fire brigade! apartment is burning. I am scared.,Fire Emergency,5,fire_101
"Emergency! Bad accident on the junction, bleeding heavily. Need help now.",Road Accident,5,ambulance_108
Emergency! Help! The building is on fire!,Fire Emergency,5,fire_101
"Lost child found at street, looks bruised.",Child Helpline,4,child_1098
Emergency! Help! The office is on fire!,Fire Emergency,5,fire_101
"Bad accident on the crossing, stuck inside.",Road Accident,4,ambulance_108
"Need ambulance immediately at bridge, bike accident.",Road Accident,4,ambulance_108
Help! My photos are being leaked on telegram. Please hurry.,Cyber Crime,1,cyber_1930
Emergency! He is drunk and hitting me and the kids.,Domestic Violence,3,women_1091
"Emergency! Having severe hallucinations, please help.",Mental Health Crisis,3,mental_health
Call the fire brigade! office is burning.,Fire Emergency,5,fire_101
Urgent. Electric short circuit caused a fire in factory.,Fire Emergency,5,fire_101
"Having severe panic attacks, please help.",Mental Health Crisis,3,mental_health
"Hit and run case at bridge, victim is unconscious.",Road Accident,4,ambulance_108
Electric short circuit caused a fire in office. I am scared.,Fire Emergency,5,fire_101
Electric short circuit caused a fire in factory.,Fire Emergency,5,fire_101
"Having severe hallucinations, please help.",Mental Health Crisis,5,mental_health
"Please save me, my brother-in-law is trying to beating me.",Domestic Violence,5,women_1091
"I am scared of my father, he is locking me. Need help now.",Domestic Violence,3,women_1091
"Having severe panic attacks, please help. Please hurry.",Mental Health Crisis,3,mental_health
"Reporting a fraud message scam, they stole my password.",Cyber Crime,2,cyber_1930
I am extremely empty and thinking of killing myself. Please hurry.,Mental Health Crisis,3,mental_health
"Emergency! Having severe anxiety, please help.",Mental Health Crisis,3,mental_health
I am being touching by a group of men at the bus stop.,Women Safety,4,women_1091
"Need ambulance immediately at bridge, car accident. I am scared.",Road Accident,4,ambulance_108
"Two cars crashed, people are not moving.",Road Accident,5,ambulance_108
I found a little girl who is hungry at street.,Child Helpline,4,child_1098
Lost money from my bank account due to fake call.,Cyber Crime,2,cyber_1930
"Emergency! Fire broke out in the building, people are trapped. I am scared.",Fire Emergency,5,fire_101
"Emergency! I want to taking pills, I can't take it anymore.",Mental Health Crisis,5,mental_health
Electric short circuit caused a fire in slum area.,Fire Emergency,5,fire_101
He is drunk and beating me and the kids. Need help now.,Domestic Violence,5,women_1091
Please help. Electric short circuit caused a fire in school.,Fire Emergency,5,fire_101
Help! The kitchen is on fire! I am scared.,Fire Emergency,5,fire_101
Someone hacked my phone.,Cyber Crime,2,cyber_1930
Urgent. My photos are being shared on social media.,Cyber Crime,2,cyber_1930
Help! I feel anxious and don't see a way out.,Mental Health Crisis,5,mental_health
Help! The office is on fire!,Fire Emergency,5,fire_101
A car hit a biker at main road. Need help now.,Road Accident,5,ambulance_108
I am being stalking by a driver at the bus stop.,Women Safety,4,women_1091
"Everything feels painful, I just want to ending my life.",Mental Health Crisis,5,mental_health
Help! My father is abusing me. I am scared.,Domestic Violence,3,women_1091
"Two cars crashed, people are unconscious.",Road Accident,5,ambulance_108
Call the fire brigade! school is burning.,Fire Emergency,5,fire_101
A child is being beaten in the temple.,Child Helpline,4,child_1098
"I need someone to talk to, I am anxious. Call police.",Mental Health Crisis,4,mental_health
My father is throwing things at me. I am scared.,Domestic Violence,5,women_1091
"Reporting a fake call scam, they stole my details.",Cyber Crime,3,cyber_1930
"Help! Domestic violence happening at my neighbor's house, he is beating her. Please hurry.",Domestic Violence,4,women_1091
"Reporting child labor at railway station, little girl is working there. Please hurry.",Child Helpline,3,child_1098
"Hit and run case at junction, victim is bleeding heavily.",Road Accident,4,ambulance_108
There is a huge fire at factory!,Fire Emergency,5,fire_101
"I need someone to talk to, I am trapped.",Mental Health Crisis,4,mental_health
"Lost child found at shop, looks bruised.",Child Helpline,5,child_1098
There is a small fire at office!,Fire Emergency,5,fire_101
Please help. I found a little boy who is crying at factory. Call police.,Child Helpline,5,child_1098
"Domestic violence happening at my neighbor's house, he is locking her.",Domestic Violence,5,women_1091
"I suspect child abuse next door, the little boy is always scared. Need help now.",Child Helpline,5,child_1098
